"file_name","run","original_mean","boot_mean","ci_level","ci_lower","ci_upper"
"data_co_vg_0-ppm_conex_D",1,0.00465957446808511,0.00463781276595745,0.95,0.00246808510638298,0.008
"data_co_vg_0-ppm_conex_D",2,0.00465957446808511,0.00464524468085106,0.95,0.00246808510638298,0.00781241873745527
"data_co_vg_0-ppm_conex_D",3,0.00465957446808511,0.00465908085106383,0.95,0.00246808510638298,0.00782978723404255
"data_co_vg_0-ppm_conex_D",4,0.00465957446808511,0.00466206595744681,0.95,0.00240425531914894,0.00787234042553192
"data_co_vg_0-ppm_conex_D",5,0.00465957446808511,0.00467065319148936,0.95,0.00246808510638298,0.00782978723404255
"data_co_vg_0-ppm_conex_D",6,0.00465957446808511,0.00466991489361702,0.95,0.00240425531914894,0.00782978723404255
"data_co_vg_0-ppm_conex_D",7,0.00465957446808511,0.00465866170212766,0.95,0.00246808510638298,0.00778723404255319
"data_co_vg_0-ppm_conex_D",8,0.00465957446808511,0.00468763191489362,0.95,0.00242553191489362,0.00780618563009321
"data_co_vg_0-ppm_conex_D",9,0.00465957446808511,0.00467894893617021,0.95,0.00246808510638298,0.00780851063829787
"data_co_vg_0-ppm_conex_D",10,0.00465957446808511,0.00464003829787234,0.95,0.00246808510638298,0.00782978723404255
"data_co_vg_0-ppm_conex_D",11,0.00465957446808511,0.00465335744680851,0.95,0.00248936170212766,0.00795744680851064
"data_co_vg_0-ppm_conex_D",12,0.00465957446808511,0.00466785744680851,0.95,0.00240425531914894,0.00785106382978723
"data_co_vg_0-ppm_conex_D",13,0.00465957446808511,0.00464438723404255,0.95,0.00240527026807418,0.00785106382978723
"data_co_vg_0-ppm_conex_D",14,0.00465957446808511,0.00465565319148936,0.95,0.00246808510638298,0.00774468085106383
"data_co_vg_0-ppm_conex_D",15,0.00465957446808511,0.00462997872340426,0.95,0.00240425531914894,0.00770212765957447
"data_co_vg_0-ppm_conex_D",16,0.00465957446808511,0.00465665106382979,0.95,0.00242553191489362,0.0078936170212766
"data_co_vg_0-ppm_conex_D",17,0.00465957446808511,0.00465447446808511,0.95,0.00240425531914894,0.00782978723404255
"data_co_vg_0-ppm_conex_D",18,0.00465957446808511,0.00466689574468085,0.95,0.00240425531914894,0.00785701255804211
"data_co_vg_0-ppm_conex_D",19,0.00465957446808511,0.00465245744680851,0.95,0.00248936170212766,0.00791489361702128
"data_co_vg_0-ppm_conex_D",20,0.00465957446808511,0.00466775957446808,0.95,0.00246808510638298,0.00794304249455644
"data_co_vg_0-ppm_conex_D",21,0.00465957446808511,0.00463175744680851,0.95,0.00246808510638298,0.00782978723404255
"data_co_vg_0-ppm_conex_D",22,0.00465957446808511,0.00465196382978723,0.95,0.00246808510638298,0.00780851063829787
"data_co_vg_0-ppm_conex_D",23,0.00465957446808511,0.00465861063829787,0.95,0.00246808510638298,0.00795744680851064
"data_co_vg_0-ppm_conex_D",24,0.00465957446808511,0.0046556829787234,0.95,0.00246808510638298,0.0078936170212766
"data_co_vg_0-ppm_conex_D",25,0.00465957446808511,0.00467639574468085,0.95,0.00242553191489362,0.00774945458892608
"data_co_vg_0-ppm_conex_D",26,0.00465957446808511,0.00466175531914894,0.95,0.00246808510638298,0.00791489361702128
"data_co_vg_0-ppm_conex_D",27,0.00465957446808511,0.00466448936170213,0.95,0.00240425531914894,0.00781364506173925
"data_co_vg_0-ppm_conex_D",28,0.00465957446808511,0.00464027234042553,0.95,0.00242553191489362,0.00791489361702128
"data_co_vg_0-ppm_conex_D",29,0.00465957446808511,0.00465717021276596,0.95,0.00246808510638298,0.0078458690822917
"data_co_vg_0-ppm_conex_D",30,0.00465957446808511,0.00464272553191489,0.95,0.00248936170212766,0.0078936170212766
"data_co_vg_0-ppm_conex_M",1,-0.0496792452830189,-0.0496524056603774,0.95,-0.0532641509433962,-0.0459433962264151
"data_co_vg_0-ppm_conex_M",2,-0.0496792452830189,-0.0496712679245283,0.95,-0.0531509433962264,-0.0456981132075472
"data_co_vg_0-ppm_conex_M",3,-0.0496792452830189,-0.0496953188679245,0.95,-0.0532362281363886,-0.0458104151163295
"data_co_vg_0-ppm_conex_M",4,-0.0496792452830189,-0.0496728471698113,0.95,-0.053188679245283,-0.0457735849056604
"data_co_vg_0-ppm_conex_M",5,-0.0496792452830189,-0.0496525188679245,0.95,-0.0531509433962264,-0.0456603773584906
"data_co_vg_0-ppm_conex_M",6,-0.0496792452830189,-0.0496726924528302,0.95,-0.0531320754716981,-0.0457489693797288
"data_co_vg_0-ppm_conex_M",7,-0.0496792452830189,-0.0496953660377358,0.95,-0.0531320754716981,-0.0457915471918012
"data_co_vg_0-ppm_conex_M",8,-0.0496792452830189,-0.0496740075471698,0.95,-0.0531509433962264,-0.0457924528301887
"data_co_vg_0-ppm_conex_M",9,-0.0496792452830189,-0.0497142018867925,0.95,-0.0531698113207547,-0.0457193859911652
"data_co_vg_0-ppm_conex_M",10,-0.0496792452830189,-0.0496418471698113,0.95,-0.0531698113207547,-0.0458490566037736
"data_co_vg_0-ppm_conex_M",11,-0.0496792452830189,-0.0496625188679245,0.95,-0.0531221265428027,-0.0458679245283019
"data_co_vg_0-ppm_conex_M",12,-0.0496792452830189,-0.0496788,0.95,-0.0532075471698113,-0.0458490566037736
"data_co_vg_0-ppm_conex_M",13,-0.0496792452830189,-0.0496630358490566,0.95,-0.0531698113207547,-0.0458679245283019
"data_co_vg_0-ppm_conex_M",14,-0.0496792452830189,-0.0496799358490566,0.95,-0.0531807443577201,-0.0458679245283019
