level,run,original_mean,boot_mean,ci_level,ci_lower,ci_upper,instrument,nominal
data_SRP_0,1,-0.0722222222222222,-0.0720066666666667,0.95,-0.108333333333333,-0.0444444444444444,SRP,0
data_SRP_0,2,-0.0722222222222222,-0.072435,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,3,-0.0722222222222222,-0.0722905555555556,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,4,-0.0722222222222222,-0.0724061111111111,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,5,-0.0722222222222222,-0.0722947222222222,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,6,-0.0722222222222222,-0.0721705555555556,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,7,-0.0722222222222222,-0.0721744444444444,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,8,-0.0722222222222222,-0.0723919444444445,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,9,-0.0722222222222222,-0.0722288888888889,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,10,-0.0722222222222222,-0.0721338888888889,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,11,-0.0722222222222222,-0.0722611111111111,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,12,-0.0722222222222222,-0.0723072222222222,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,13,-0.0722222222222222,-0.0723894444444445,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,14,-0.0722222222222222,-0.0719641666666667,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,15,-0.0722222222222222,-0.0721241666666667,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,16,-0.0722222222222222,-0.07203,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,17,-0.0722222222222222,-0.0720275,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,18,-0.0722222222222222,-0.0720597222222222,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,19,-0.0722222222222222,-0.0721547222222222,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,20,-0.0722222222222222,-0.0722994444444444,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,21,-0.0722222222222222,-0.0721872222222222,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,22,-0.0722222222222222,-0.0721822222222222,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,23,-0.0722222222222222,-0.0723547222222222,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,24,-0.0722222222222222,-0.0720497222222222,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,25,-0.0722222222222222,-0.0720930555555556,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,26,-0.0722222222222222,-0.0725147222222222,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,27,-0.0722222222222222,-0.0723575,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,28,-0.0722222222222222,-0.0721308333333333,0.95,-0.108333333333333,-0.0416666666666667,SRP,0
data_SRP_0,29,-0.0722222222222222,-0.0721305555555556,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
data_SRP_0,30,-0.0722222222222222,-0.0722194444444444,0.95,-0.105555555555556,-0.0416666666666667,SRP,0
