source_file,level,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10
bootstrap_means_data_SRP_02_run_1.csv,02,-0.0222222222222222,-0.0222222222222222,-0.0583333333333333,-0.00833333333333333,-0.0583333333333333,-0.05,-0.0361111111111111,-0.0416666666666667,-0.0277777777777778,-0.0611111111111111
bootstrap_means_data_SRP_02_run_10.csv,02,-0.0333333333333333,-0.0472222222222222,-0.0138888888888889,-0.0194444444444444,-0.0333333333333333,-0.0388888888888889,-0.0388888888888889,-0.0444444444444444,-0.0416666666666667,-0.0694444444444444
bootstrap_means_data_SRP_02_run_11.csv,02,-0.0277777777777778,-0.0472222222222222,-0.0638888888888889,-0.0638888888888889,-0.0694444444444444,-0.0166666666666667,-0.0555555555555556,-0.0333333333333333,-0.05,-0.0444444444444444
bootstrap_means_data_SRP_02_run_12.csv,02,-0.0333333333333333,-0.0472222222222222,-0.0444444444444444,-0.0138888888888889,-0.0333333333333333,-0.05,-0.0416666666666667,-0.0388888888888889,-0.0305555555555556,-0.025
bootstrap_means_data_SRP_02_run_13.csv,02,-0.0416666666666667,-0.0611111111111111,-0.0472222222222222,-0.025,-0.0305555555555556,-0.0222222222222222,-0.075,-0.0194444444444444,-0.0472222222222222,-0.0333333333333333
bootstrap_means_data_SRP_02_run_14.csv,02,-0.1,-0.025,-0.025,-0.0444444444444444,-0.0166666666666667,-0.0611111111111111,-0.0555555555555556,-0.0333333333333333,-0.00833333333333333,-0.0166666666666667
bootstrap_means_data_SRP_02_run_15.csv,02,-0.0388888888888889,-0.00833333333333333,-0.0555555555555556,-0.0305555555555556,-0.0166666666666667,-0.0555555555555556,-0.0416666666666667,-0.05,-0.05,-0.0333333333333333
bootstrap_means_data_SRP_02_run_16.csv,02,-0.05,-0.0333333333333333,-0.0555555555555556,-0.0305555555555556,-0.0388888888888889,-0.0583333333333333,-0.0166666666666667,-0.0111111111111111,-0.0444444444444444,-0.0472222222222222
bootstrap_means_data_SRP_02_run_17.csv,02,-0.0444444444444444,-0.0666666666666667,-0.0472222222222222,-0.0361111111111111,-0.0666666666666667,-0.0611111111111111,-0.0138888888888889,-0.0583333333333333,-0.0388888888888889,-0.025
bootstrap_means_data_SRP_02_run_18.csv,02,-0.075,-0.05,-0.0305555555555556,-0.0361111111111111,-0.0305555555555556,-0.0527777777777778,-0.0388888888888889,-0.0361111111111111,-0.0388888888888889,-0.0305555555555556
bootstrap_means_data_SRP_02_run_19.csv,02,-0.0138888888888889,-0.0416666666666667,-0.00833333333333333,-0.0666666666666667,-0.0388888888888889,-0.00555555555555556,-0.0805555555555556,-0.0583333333333333,-0.0277777777777778,-0.0166666666666667
bootstrap_means_data_SRP_02_run_2.csv,02,-0.05,-0.0722222222222222,-0.0222222222222222,-0.0527777777777778,-0.025,-0.00277777777777778,-0.0416666666666667,-0.0694444444444444,-0.05,-0.0444444444444444
bootstrap_means_data_SRP_02_run_20.csv,02,-0.0638888888888889,-0.0472222222222222,-0.0611111111111111,-0.0194444444444444,-0.0555555555555556,-0.0555555555555556,-0.0305555555555556,-0.025,-0.0472222222222222,-0.0472222222222222
bootstrap_means_data_SRP_02_run_21.csv,02,-0.0388888888888889,-0.0333333333333333,-0.0388888888888889,-0.0361111111111111,-0.0416666666666667,-0.025,-0.0583333333333333,-0.0277777777777778,-0.0416666666666667,-0.0333333333333333
bootstrap_means_data_SRP_02_run_22.csv,02,-0.0388888888888889,-0.05,-0.0305555555555556,-0.00833333333333333,-0.0388888888888889,-0.0333333333333333,-0.0527777777777778,-0.0138888888888889,-0.025,-0.0138888888888889
bootstrap_means_data_SRP_02_run_23.csv,02,-0.0222222222222222,-0.025,-0.0472222222222222,-0.0555555555555556,-0.0277777777777778,-0.0138888888888889,-0.0388888888888889,-0.0138888888888889,-0.0277777777777778,-0.0277777777777778
bootstrap_means_data_SRP_02_run_24.csv,02,-0.05,-0.0333333333333333,-0.0527777777777778,-0.0583333333333333,-0.0416666666666667,-0.0333333333333333,-0.0166666666666667,-0.0583333333333333,-0.0527777777777778,-0.0361111111111111
bootstrap_means_data_SRP_02_run_25.csv,02,-0.0333333333333333,-0.0305555555555556,-0.0277777777777778,-0.0277777777777778,-0.0388888888888889,-0.05,-0.0416666666666667,-0.0444444444444444,-0.05,-0.0361111111111111
bootstrap_means_data_SRP_02_run_26.csv,02,-0.0305555555555556,-0.0388888888888889,-0.0555555555555556,-0.0527777777777778,-0.0222222222222222,-0.0138888888888889,-0.0416666666666667,-0.05,-0.0583333333333333,-0.00833333333333333
bootstrap_means_data_SRP_02_run_27.csv,02,-0.0361111111111111,-0.05,-0.0416666666666667,-0.0166666666666667,-0.025,-0.05,-0.05,-0.0305555555555556,-0.0444444444444444,-0.0361111111111111
bootstrap_means_data_SRP_02_run_28.csv,02,-0.0444444444444444,-0.0638888888888889,-0.0472222222222222,-0.0305555555555556,-0.0222222222222222,-0.0444444444444444,-0.0694444444444444,-0.0388888888888889,-0.0694444444444444,-0.0638888888888889
bootstrap_means_data_SRP_02_run_29.csv,02,-0.0333333333333333,-0.0527777777777778,-0.0277777777777778,-0.0527777777777778,-0.0305555555555556,-0.0472222222222222,-0.0472222222222222,-0.0527777777777778,-0.0611111111111111,-0.0583333333333333
bootstrap_means_data_SRP_02_run_3.csv,02,-0.0555555555555556,-0.00277777777777778,-0.0194444444444444,-0.0472222222222222,-0.0305555555555556,0,-0.0222222222222222,-0.00277777777777778,-0.0361111111111111,-0.0194444444444444
