"source_file","level","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20"
"bootstrap_data_o3_vg_0-ppb_conex_M_run_28.csv","0-ppb",0,3.2258064516129e-05,3.2258064516129e-05,3.2258064516129e-05,0,3.2258064516129e-05,6.45161290322581e-05,0,9.67741935483871e-05,3.2258064516129e-05,0,3.2258064516129e-05,3.2258064516129e-05,0,3.2258064516129e-05,3.2258064516129e-05,0,3.2258064516129e-05,3.2258064516129e-05,0
"bootstrap_data_o3_vg_0-ppb_conex_M_run_29.csv","0-ppb",3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,0.00012903225806451,3.2258064516129e-05,3.2258064516129e-05,0.00012903225806451,3.2258064516129e-05,0,0,9.67741935483871e-05,0,3.2258064516129e-05,0,0,6.45161290322581e-05,3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,0
"bootstrap_data_o3_vg_0-ppb_conex_M_run_3.csv","0-ppb",3.2258064516129e-05,3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,0,0,0,3.2258064516129e-05,0,3.2258064516129e-05,0,9.67741935483871e-05,3.2258064516129e-05,0,0,0,3.2258064516129e-05,0,9.67741935483871e-05,0
"bootstrap_data_o3_vg_0-ppb_conex_M_run_30.csv","0-ppb",3.2258064516129e-05,6.45161290322581e-05,6.45161290322581e-05,3.2258064516129e-05,0,6.45161290322581e-05,6.45161290322581e-05,0,0,0,6.45161290322581e-05,3.2258064516129e-05,0,3.2258064516129e-05,6.45161290322581e-05,0,3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,6.45161290322581e-05
"bootstrap_data_o3_vg_0-ppb_conex_M_run_4.csv","0-ppb",3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,0,6.45161290322581e-05,3.2258064516129e-05,9.67741935483871e-05,3.2258064516129e-05,6.45161290322581e-05,0,3.2258064516129e-05,6.45161290322581e-05,9.67741935483871e-05,3.2258064516129e-05,3.2258064516129e-05,0,6.45161290322581e-05,3.2258064516129e-05,6.45161290322581e-05,6.45161290322581e-05
"bootstrap_data_o3_vg_0-ppb_conex_M_run_5.csv","0-ppb",0,3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,0,0,0,0,0,0.00012903225806451,3.2258064516129e-05,0,6.45161290322581e-05,3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,0,6.45161290322581e-05,6.45161290322581e-05,3.2258064516129e-05
"bootstrap_data_o3_vg_0-ppb_conex_M_run_6.csv","0-ppb",3.2258064516129e-05,3.2258064516129e-05,6.45161290322581e-05,0,0,0,3.2258064516129e-05,3.2258064516129e-05,3.2258064516129e-05,3.2258064516129e-05,0,3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,0,9.67741935483871e-05,3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,3.2258064516129e-05
"bootstrap_data_o3_vg_0-ppb_conex_M_run_7.csv","0-ppb",3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,3.2258064516129e-05,0,3.2258064516129e-05,3.2258064516129e-05,3.2258064516129e-05,3.2258064516129e-05,9.67741935483871e-05,0,6.45161290322581e-05,3.2258064516129e-05,6.45161290322581e-05,6.45161290322581e-05,0,0.00016129032258064,6.45161290322581e-05,3.2258064516129e-05,3.2258064516129e-05
"bootstrap_data_o3_vg_0-ppb_conex_M_run_8.csv","0-ppb",6.45161290322581e-05,3.2258064516129e-05,0,0.00016129032258064,6.45161290322581e-05,3.2258064516129e-05,3.2258064516129e-05,0,3.2258064516129e-05,3.2258064516129e-05,0,6.45161290322581e-05,0,3.2258064516129e-05,0,6.45161290322581e-05,0,0,0,3.2258064516129e-05
"bootstrap_data_o3_vg_0-ppb_conex_M_run_9.csv","0-ppb",6.45161290322581e-05,0,3.2258064516129e-05,6.45161290322581e-05,3.2258064516129e-05,3.2258064516129e-05,3.2258064516129e-05,0,0,0,3.2258064516129e-05,0,3.2258064516129e-05,6.45161290322581e-05,6.45161290322581e-05,6.45161290322581e-05,3.2258064516129e-05,0,3.2258064516129e-05,3.2258064516129e-05
"bootstrap_data_o3_vg_120-ppb_conex_D_run_1.csv","120-ppb",120.686622222222,120.731455555556,120.694244444444,120.6927,120.738633333333,120.577911111111,120.720333333333,120.706577777778,120.760833333333,120.710955555556,120.6273,120.702588888889,120.619633333333,120.681644444444,120.715766666667,120.6824,120.732544444444,120.697088888889,120.762988888889,120.648933333333
"bootstrap_data_o3_vg_120-ppb_conex_D_run_10.csv","120-ppb",120.670922222222,120.729366666667,120.6613,120.785466666667,120.761822222222,120.721855555556,120.689777777778,120.7408,120.755777777778,120.658633333333,120.712944444444,120.742033333333,120.701711111111,120.690611111111,120.699377777778,120.760377777778,120.558488888889,120.722011111111,120.692655555556,120.5996
"bootstrap_data_o3_vg_120-ppb_conex_D_run_11.csv","120-ppb",120.644588888889,120.611811111111,120.696033333333,120.673344444444,120.6684,120.696622222222,120.631966666667,120.600111111111,120.7346,120.724566666667,120.726722222222,120.742311111111,120.675066666667,120.611944444444,120.721177777778,120.709355555556,120.7603,120.682066666667,120.708188888889,120.748222222222
"bootstrap_data_o3_vg_120-ppb_conex_D_run_12.csv","120-ppb",120.706611111111,120.663344444444,120.683544444444,120.747311111111,120.671622222222,120.755533333333,120.776477777778,120.582377777778,120.644511111111,120.681133333333,120.7144,120.6818,120.745455555556,120.750088888889,120.746977777778,120.639555555556,120.665211111111,120.762166666667,120.662855555556,120.7384
"bootstrap_data_o3_vg_120-ppb_conex_D_run_13.csv","120-ppb",120.748233333333,120.674122222222,120.690877777778,120.694366666667,120.677566666667,120.689844444444,120.659722222222,120.628777777778,120.754788888889,120.702833333333,120.695566666667,120.613933333333,120.654244444444,120.709011111111,120.700611111111,120.7197,120.644833333333,120.697111111111,120.752888888889,120.781055555556
