"date","device","poll","conc","vg","conex"
"8/6/2025 16:35 PM","APNA-370","NO2",97.53,"90 ppb","D"
"8/6/2025 16:36 PM","APNA-370","NO2",96.9,"90 ppb","D"
"8/6/2025 16:37 PM","APNA-370","NO2",96.92,"90 ppb","D"
"8/6/2025 16:38 PM","APNA-370","NO2",96.83,"90 ppb","D"
"8/6/2025 16:39 PM","APNA-370","NO2",96.96,"90 ppb","D"
"8/6/2025 16:40 PM","APNA-370","NO2",96.93,"90 ppb","D"
"8/6/2025 16:41 PM","APNA-370","NO2",96.7,"90 ppb","D"
"8/6/2025 16:42 PM","APNA-370","NO2",96.61,"90 ppb","D"
"8/6/2025 16:43 PM","APNA-370","NO2",96.65,"90 ppb","D"
"8/6/2025 16:44 PM","APNA-370","NO2",96.29,"90 ppb","D"
"8/6/2025 16:45 PM","APNA-370","NO2",96.52,"90 ppb","D"
"8/6/2025 16:46 PM","APNA-370","NO2",97.17,"90 ppb","D"
"8/6/2025 16:47 PM","APNA-370","NO2",96.73,"90 ppb","D"
"8/6/2025 16:48 PM","APNA-370","NO2",96.82,"90 ppb","D"
"8/6/2025 16:49 PM","APNA-370","NO2",96.78,"90 ppb","D"
"8/6/2025 16:50 PM","APNA-370","NO2",96.84,"90 ppb","D"
"8/6/2025 16:51 PM","APNA-370","NO2",96.9,"90 ppb","D"
"8/6/2025 16:52 PM","APNA-370","NO2",97.21,"90 ppb","D"
"8/6/2025 16:53 PM","APNA-370","NO2",97.47,"90 ppb","D"
"8/6/2025 16:54 PM","APNA-370","NO2",96.96,"90 ppb","D"
"8/6/2025 16:55 PM","APNA-370","NO2",97.21,"90 ppb","D"
"8/6/2025 16:56 PM","APNA-370","NO2",97.16,"90 ppb","D"
"8/6/2025 16:57 PM","APNA-370","NO2",96.99,"90 ppb","D"
"8/6/2025 16:58 PM","APNA-370","NO2",96.83,"90 ppb","D"
"8/6/2025 16:59 PM","APNA-370","NO2",96.96,"90 ppb","D"
"8/6/2025 17:00 PM","APNA-370","NO2",97.62,"90 ppb","D"
"8/6/2025 17:01 PM","APNA-370","NO2",97.67,"90 ppb","D"
"8/6/2025 17:02 PM","APNA-370","NO2",97.3,"90 ppb","D"
"8/6/2025 17:03 PM","APNA-370","NO2",96.85,"90 ppb","D"
"8/6/2025 17:04 PM","APNA-370","NO2",96.61,"90 ppb","D"
"8/6/2025 17:05 PM","APNA-370","NO2",96.27,"90 ppb","D"
"8/6/2025 17:06 PM","APNA-370","NO2",96.22,"90 ppb","D"
"8/6/2025 17:07 PM","APNA-370","NO2",96.53,"90 ppb","D"
"8/6/2025 17:08 PM","APNA-370","NO2",96.8,"90 ppb","D"
"8/6/2025 17:09 PM","APNA-370","NO2",96.68,"90 ppb","D"
"8/6/2025 17:10 PM","APNA-370","NO2",96.67,"90 ppb","D"
"8/6/2025 17:11 PM","APNA-370","NO2",96.48,"90 ppb","D"
"8/6/2025 17:12 PM","APNA-370","NO2",96.25,"90 ppb","D"
"8/6/2025 17:13 PM","APNA-370","NO2",96.59,"90 ppb","D"
"8/6/2025 17:14 PM","APNA-370","NO2",97.34,"90 ppb","D"
"8/6/2025 17:15 PM","APNA-370","NO2",97.15,"90 ppb","D"
"8/6/2025 17:16 PM","APNA-370","NO2",97.31,"90 ppb","D"
"8/6/2025 17:17 PM","APNA-370","NO2",96.89,"90 ppb","D"
"8/6/2025 17:18 PM","APNA-370","NO2",96.88,"90 ppb","D"
"8/6/2025 17:19 PM","APNA-370","NO2",96.42,"90 ppb","D"
"8/6/2025 17:20 PM","APNA-370","NO2",96.57,"90 ppb","D"
"8/6/2025 17:21 PM","APNA-370","NO2",97.13,"90 ppb","D"
"8/6/2025 17:22 PM","APNA-370","NO2",97.12,"90 ppb","D"
"8/6/2025 17:23 PM","APNA-370","NO2",97.47,"90 ppb","D"
"8/6/2025 17:24 PM","APNA-370","NO2",97.25,"90 ppb","D"
"8/6/2025 17:25 PM","APNA-370","NO2",96.66,"90 ppb","D"
"8/6/2025 17:26 PM","APNA-370","NO2",96.84,"90 ppb","D"
"8/6/2025 17:27 PM","APNA-370","NO2",96.96,"90 ppb","D"
"8/6/2025 17:28 PM","APNA-370","NO2",96.65,"90 ppb","D"
"8/6/2025 17:29 PM","APNA-370","NO2",96.78,"90 ppb","D"
"8/6/2025 17:30 PM","APNA-370","NO2",96.32,"90 ppb","D"
"8/6/2025 17:31 PM","APNA-370","NO2",96.14,"90 ppb","D"
"8/6/2025 17:32 PM","APNA-370","NO2",96.23,"90 ppb","D"
"8/6/2025 17:33 PM","APNA-370","NO2",95.83,"90 ppb","D"
"8/6/2025 17:34 PM","APNA-370","NO2",96.7,"90 ppb","D"
"8/6/2025 17:35 PM","APNA-370","NO2",97.23,"90 ppb","D"
"8/6/2025 17:36 PM","APNA-370","NO2",96.8,"90 ppb","D"
"8/6/2025 17:37 PM","APNA-370","NO2",97.07,"90 ppb","D"
"8/6/2025 17:38 PM","APNA-370","NO2",96.71,"90 ppb","D"
"8/6/2025 17:39 PM","APNA-370","NO2",96.49,"90 ppb","D"
"8/6/2025 17:40 PM","APNA-370","NO2",96.69,"90 ppb","D"
"8/6/2025 17:41 PM","APNA-370","NO2",96.79,"90 ppb","D"
"8/6/2025 17:42 PM","APNA-370","NO2",97.3,"90 ppb","D"
"8/6/2025 17:43 PM","APNA-370","NO2",97.41,"90 ppb","D"
"8/6/2025 17:44 PM","APNA-370","NO2",97.28,"90 ppb","D"
"8/6/2025 17:45 PM","APNA-370","NO2",97.47,"90 ppb","D"
"8/6/2025 17:46 PM","APNA-370","NO2",97.03,"90 ppb","D"
"8/6/2025 17:47 PM","APNA-370","NO2",96.79,"90 ppb","D"
"8/6/2025 17:48 PM","APNA-370","NO2",97.23,"90 ppb","D"
"8/6/2025 17:49 PM","APNA-370","NO2",96.92,"90 ppb","D"
"8/6/2025 17:50 PM","APNA-370","NO2",96.52,"90 ppb","D"
"8/6/2025 17:51 PM","APNA-370","NO2",96.73,"90 ppb","D"
"8/6/2025 17:52 PM","APNA-370","NO2",97.02,"90 ppb","D"
"8/6/2025 17:53 PM","APNA-370","NO2",96.5,"90 ppb","D"
"8/6/2025 17:54 PM","APNA-370","NO2",95.89,"90 ppb","D"
"8/6/2025 17:55 PM","APNA-370","NO2",96.6,"90 ppb","D"
"8/6/2025 17:56 PM","APNA-370","NO2",97.02,"90 ppb","D"
"8/6/2025 17:57 PM","APNA-370","NO2",96.96,"90 ppb","D"
"8/6/2025 17:58 PM","APNA-370","NO2",96.74,"90 ppb","D"
"8/6/2025 17:59 PM","APNA-370","NO2",96.82,"90 ppb","D"
"8/6/2025 18:00 PM","APNA-370","NO2",96.4,"90 ppb","D"
