"date","device","poll","c","vg","conex"
"6/8/25 13:02","APNA-370","NO",71.98,"182 ppb","D"
"6/8/25 13:03","APNA-370","NO",71.68,"182 ppb","D"
"6/8/25 13:04","APNA-370","NO",71.19,"182 ppb","D"
"6/8/25 13:05","APNA-370","NO",71.83,"182 ppb","D"
"6/8/25 13:06","APNA-370","NO",72.04,"182 ppb","D"
"6/8/25 13:07","APNA-370","NO",71.82,"182 ppb","D"
"6/8/25 13:08","APNA-370","NO",71.52,"182 ppb","D"
"6/8/25 13:09","APNA-370","NO",71.86,"182 ppb","D"
"6/8/25 13:10","APNA-370","NO",71.84,"182 ppb","D"
"6/8/25 13:11","APNA-370","NO",72.04,"182 ppb","D"
"6/8/25 13:12","APNA-370","NO",72.97,"182 ppb","D"
"6/8/25 13:01","APNA-370","NO",72.73,"182 ppb","D"
"6/8/25 13:14","APNA-370","NO",72.2,"182 ppb","D"
"6/8/25 13:15","APNA-370","NO",73.29,"182 ppb","D"
"6/8/25 13:16","APNA-370","NO",73.23,"182 ppb","D"
"6/8/25 13:17","APNA-370","NO",73.09,"182 ppb","D"
"6/8/25 13:18","APNA-370","NO",72.8,"182 ppb","D"
"6/8/25 13:19","APNA-370","NO",73.05,"182 ppb","D"
"6/8/25 13:20","APNA-370","NO",73.71,"182 ppb","D"
"6/8/25 13:21","APNA-370","NO",72.89,"182 ppb","D"
"6/8/25 13:22","APNA-370","NO",72.6,"182 ppb","D"
"6/8/25 13:23","APNA-370","NO",73.25,"182 ppb","D"
"6/8/25 13:24","APNA-370","NO",73.5,"182 ppb","D"
"6/8/25 13:25","APNA-370","NO",73.69,"182 ppb","D"
"6/8/25 13:26","APNA-370","NO",73.7,"182 ppb","D"
"6/8/25 13:27","APNA-370","NO",72.49,"182 ppb","D"
"6/8/25 13:28","APNA-370","NO",72.95,"182 ppb","D"
"6/8/25 13:29","APNA-370","NO",72.63,"182 ppb","D"
"6/8/25 13:30","APNA-370","NO",72.24,"182 ppb","D"
"6/8/25 13:31","APNA-370","NO",72.05,"182 ppb","D"
"6/8/25 13:32","APNA-370","NO",74.83,"182 ppb","D"
"6/8/25 13:33","APNA-370","NO",79.01,"182 ppb","D"
"6/8/25 13:34","APNA-370","NO",78.65,"182 ppb","D"
"6/8/25 13:35","APNA-370","NO",78.03,"182 ppb","D"
"6/8/25 13:36","APNA-370","NO",77.33,"182 ppb","D"
"6/8/25 13:37","APNA-370","NO",77.48,"182 ppb","D"
"6/8/25 13:38","APNA-370","NO",77.46,"182 ppb","D"
"6/8/25 13:39","APNA-370","NO",78.25,"182 ppb","D"
"6/8/25 13:40","APNA-370","NO",78.25,"182 ppb","D"
"6/8/25 13:41","APNA-370","NO",78.39,"182 ppb","D"
"6/8/25 13:42","APNA-370","NO",78.01,"182 ppb","D"
"6/8/25 13:43","APNA-370","NO",77.77,"182 ppb","D"
"6/8/25 13:44","APNA-370","NO",78.6,"182 ppb","D"
"6/8/25 13:45","APNA-370","NO",78.13,"182 ppb","D"
"6/8/25 13:46","APNA-370","NO",78.11,"182 ppb","D"
"6/8/25 13:47","APNA-370","NO",78.45,"182 ppb","D"
"6/8/25 13:48","APNA-370","NO",78.5,"182 ppb","D"
"6/8/25 13:49","APNA-370","NO",78.34,"182 ppb","D"
"6/8/25 13:50","APNA-370","NO",78.24,"182 ppb","D"
"6/8/25 13:51","APNA-370","NO",77.87,"182 ppb","D"
"6/8/25 13:52","APNA-370","NO",78.34,"182 ppb","D"
"6/8/25 13:53","APNA-370","NO",78.8,"182 ppb","D"
"6/8/25 13:54","APNA-370","NO",78.89,"182 ppb","D"
"6/8/25 13:55","APNA-370","NO",79.25,"182 ppb","D"
"6/8/25 13:56","APNA-370","NO",78.76,"182 ppb","D"
"6/8/25 13:57","APNA-370","NO",78.44,"182 ppb","D"
"6/8/25 13:58","APNA-370","NO",78.09,"182 ppb","D"
"6/8/25 13:59","APNA-370","NO",78.42,"182 ppb","D"
"8/6/2025 14:00 PM","APNA-370","NO",78.59,"182 ppb","D"
"8/6/2025 14:01 PM","APNA-370","NO",78.45,"182 ppb","D"
"8/6/2025 14:02 PM","APNA-370","NO",78.45,"182 ppb","D"
"8/6/2025 14:03 PM","APNA-370","NO",78.31,"182 ppb","D"
"8/6/2025 14:04 PM","APNA-370","NO",78.43,"182 ppb","D"
"8/6/2025 14:05 PM","APNA-370","NO",78.49,"182 ppb","D"
"8/6/2025 14:06 PM","APNA-370","NO",78.59,"182 ppb","D"
"8/6/2025 14:07 PM","APNA-370","NO",78.5,"182 ppb","D"
"8/6/2025 14:08 PM","APNA-370","NO",78.26,"182 ppb","D"
"8/6/2025 14:09 PM","APNA-370","NO",78.41,"182 ppb","D"
"8/6/2025 14:10 PM","APNA-370","NO",78.21,"182 ppb","D"
"8/6/2025 14:11 PM","APNA-370","NO",78.09,"182 ppb","D"
"8/6/2025 14:12 PM","APNA-370","NO",78.19,"182 ppb","D"
"8/6/2025 14:13 PM","APNA-370","NO",78.29,"182 ppb","D"
"8/6/2025 14:14 PM","APNA-370","NO",78.32,"182 ppb","D"
"8/6/2025 14:15 PM","APNA-370","NO",78.39,"182 ppb","D"
"8/6/2025 14:16 PM","APNA-370","NO",78.11,"182 ppb","D"
"8/6/2025 14:17 PM","APNA-370","NO",78.43,"182 ppb","D"
"8/6/2025 14:18 PM","APNA-370","NO",78.54,"182 ppb","D"
"8/6/2025 14:19 PM","APNA-370","NO",78.84,"182 ppb","D"
"8/6/2025 14:20 PM","APNA-370","NO",79,"182 ppb","D"
