"date","device","poll","conc","vg","conex"
"8/8/25 11:10","APNA-370","NO2",68.76,"60 ppb","D"
"8/8/25 11:11","APNA-370","NO2",66.32,"60 ppb","D"
"8/8/25 11:12","APNA-370","NO2",65.71,"60 ppb","D"
"8/8/25 11:13","APNA-370","NO2",66.05,"60 ppb","D"
"8/8/25 11:14","APNA-370","NO2",66.26,"60 ppb","D"
"8/8/25 11:15","APNA-370","NO2",66,"60 ppb","D"
"8/8/25 11:16","APNA-370","NO2",66.03,"60 ppb","D"
"8/8/25 11:17","APNA-370","NO2",65.94,"60 ppb","D"
"8/8/25 11:18","APNA-370","NO2",65.74,"60 ppb","D"
"8/8/25 11:19","APNA-370","NO2",66.14,"60 ppb","D"
"8/8/25 11:20","APNA-370","NO2",66.29,"60 ppb","D"
"8/8/25 11:21","APNA-370","NO2",66.19,"60 ppb","D"
"8/8/25 11:22","APNA-370","NO2",65.89,"60 ppb","D"
"8/8/25 11:23","APNA-370","NO2",66.13,"60 ppb","D"
"8/8/25 11:24","APNA-370","NO2",66.12,"60 ppb","D"
"8/8/25 11:25","APNA-370","NO2",66.22,"60 ppb","D"
"8/8/25 11:26","APNA-370","NO2",66.67,"60 ppb","D"
"8/8/25 11:27","APNA-370","NO2",66.58,"60 ppb","D"
"8/8/25 11:28","APNA-370","NO2",65.71,"60 ppb","D"
"8/8/25 11:29","APNA-370","NO2",65.56,"60 ppb","D"
"8/8/25 11:30","APNA-370","NO2",66.19,"60 ppb","D"
"8/8/25 11:31","APNA-370","NO2",65.91,"60 ppb","D"
"8/8/25 11:32","APNA-370","NO2",65.52,"60 ppb","D"
"8/8/25 11:33","APNA-370","NO2",66.02,"60 ppb","D"
"8/8/25 11:34","APNA-370","NO2",66.35,"60 ppb","D"
"8/8/25 11:35","APNA-370","NO2",66.47,"60 ppb","D"
"8/8/25 11:36","APNA-370","NO2",66.59,"60 ppb","D"
"8/8/25 11:37","APNA-370","NO2",66.29,"60 ppb","D"
"8/8/25 11:38","APNA-370","NO2",66.09,"60 ppb","D"
"8/8/25 11:39","APNA-370","NO2",65.75,"60 ppb","D"
"8/8/25 11:40","APNA-370","NO2",66.15,"60 ppb","D"
"8/8/25 11:41","APNA-370","NO2",66.6,"60 ppb","D"
"8/8/25 11:42","APNA-370","NO2",66.3,"60 ppb","D"
"8/8/25 11:43","APNA-370","NO2",66.12,"60 ppb","D"
"8/8/25 11:44","APNA-370","NO2",65.95,"60 ppb","D"
"8/8/25 11:45","APNA-370","NO2",65.83,"60 ppb","D"
"8/8/25 11:46","APNA-370","NO2",66.02,"60 ppb","D"
"8/8/25 11:47","APNA-370","NO2",66.14,"60 ppb","D"
"8/8/25 11:48","APNA-370","NO2",66.21,"60 ppb","D"
"8/8/25 11:49","APNA-370","NO2",66.62,"60 ppb","D"
"8/8/25 11:50","APNA-370","NO2",66.87,"60 ppb","D"
"8/8/25 11:51","APNA-370","NO2",66.12,"60 ppb","D"
"8/8/25 11:52","APNA-370","NO2",65.66,"60 ppb","D"
"8/8/25 11:53","APNA-370","NO2",65.81,"60 ppb","D"
"8/8/25 11:54","APNA-370","NO2",66.59,"60 ppb","D"
"8/8/25 11:55","APNA-370","NO2",66.65,"60 ppb","D"
"8/8/25 11:56","APNA-370","NO2",66.86,"60 ppb","D"
"8/8/25 11:57","APNA-370","NO2",66.76,"60 ppb","D"
"8/8/25 11:58","APNA-370","NO2",66.44,"60 ppb","D"
"8/8/25 11:59","APNA-370","NO2",66.38,"60 ppb","D"
"8/8/25 12:00","APNA-370","NO2",65.85,"60 ppb","D"
"8/8/25 12:01","APNA-370","NO2",65.34,"60 ppb","D"
"8/8/25 12:02","APNA-370","NO2",66.16,"60 ppb","D"
"8/8/25 12:03","APNA-370","NO2",66.8,"60 ppb","D"
