"date","device","poll","c","vg","conex"
"8/12/25 12:19","APNA-370","NO",179.5,"180 ppb","M"
"8/12/25 12:20","APNA-370","NO",180.6,"180 ppb","M"
"8/12/25 12:21","APNA-370","NO",181.2,"180 ppb","M"
"8/12/25 12:22","APNA-370","NO",181.6,"180 ppb","M"
"8/12/25 12:23","APNA-370","NO",181.2,"180 ppb","M"
"8/12/25 12:24","APNA-370","NO",181.3,"180 ppb","M"
"8/12/25 12:25","APNA-370","NO",180.9,"180 ppb","M"
"8/12/25 12:26","APNA-370","NO",180.4,"180 ppb","M"
"8/12/25 12:27","APNA-370","NO",180.7,"180 ppb","M"
"8/12/25 12:28","APNA-370","NO",181.2,"180 ppb","M"
"8/12/25 12:29","APNA-370","NO",181.4,"180 ppb","M"
"8/12/25 12:30","APNA-370","NO",181.3,"180 ppb","M"
"8/12/25 12:31","APNA-370","NO",181.2,"180 ppb","M"
"8/12/25 12:32","APNA-370","NO",181.1,"180 ppb","M"
"8/12/25 12:33","APNA-370","NO",181.6,"180 ppb","M"
"8/12/25 12:34","APNA-370","NO",181.7,"180 ppb","M"
"8/12/25 12:35","APNA-370","NO",181.8,"180 ppb","M"
"8/12/25 12:36","APNA-370","NO",181.5,"180 ppb","M"
"8/12/25 12:37","APNA-370","NO",182,"180 ppb","M"
"8/12/25 12:38","APNA-370","NO",182.1,"180 ppb","M"
"8/12/25 12:39","APNA-370","NO",181.8,"180 ppb","M"
"8/12/25 12:40","APNA-370","NO",181.6,"180 ppb","M"
"8/12/25 12:41","APNA-370","NO",181.7,"180 ppb","M"
"8/12/25 12:42","APNA-370","NO",181.8,"180 ppb","M"
"8/12/25 12:43","APNA-370","NO",181.8,"180 ppb","M"
"8/12/25 12:44","APNA-370","NO",181.8,"180 ppb","M"
"8/12/25 12:45","APNA-370","NO",182.3,"180 ppb","M"
"8/12/25 12:46","APNA-370","NO",182.6,"180 ppb","M"
"8/12/25 12:47","APNA-370","NO",182.5,"180 ppb","M"
"8/12/25 12:48","APNA-370","NO",182.1,"180 ppb","M"
"8/12/25 12:49","APNA-370","NO",181.9,"180 ppb","M"
"8/12/25 12:50","APNA-370","NO",181.7,"180 ppb","M"
"8/12/25 12:51","APNA-370","NO",181.9,"180 ppb","M"
"8/12/25 12:52","APNA-370","NO",182.4,"180 ppb","M"
"8/12/25 12:53","APNA-370","NO",182.3,"180 ppb","M"
