"date","device","poll","conc","vg","conex"
"8/29/25 10:00","T-API","CO",1.77,"2 ppm","D"
"8/29/25 10:01","T-API","CO",2,"2 ppm","D"
"8/29/25 10:02","T-API","CO",2,"2 ppm","D"
"8/29/25 10:03","T-API","CO",2,"2 ppm","D"
"8/29/25 10:04","T-API","CO",2,"2 ppm","D"
"8/29/25 10:05","T-API","CO",2.1,"2 ppm","D"
"8/29/25 10:06","T-API","CO",2.11,"2 ppm","D"
"8/29/25 10:07","T-API","CO",2,"2 ppm","D"
"8/29/25 10:08","T-API","CO",2.11,"2 ppm","D"
"8/29/25 10:09","T-API","CO",2,"2 ppm","D"
"8/29/25 10:10","T-API","CO",2,"2 ppm","D"
"8/29/25 10:11","T-API","CO",2,"2 ppm","D"
"8/29/25 10:12","T-API","CO",2,"2 ppm","D"
"8/29/25 10:13","T-API","CO",2,"2 ppm","D"
"8/29/25 10:14","T-API","CO",2.07,"2 ppm","D"
"8/29/25 10:15","T-API","CO",2,"2 ppm","D"
"8/29/25 10:16","T-API","CO",2.05,"2 ppm","D"
"8/29/25 10:17","T-API","CO",2.05,"2 ppm","D"
"8/29/25 10:18","T-API","CO",2.05,"2 ppm","D"
"8/29/25 10:19","T-API","CO",2.04,"2 ppm","D"
"8/29/25 10:20","T-API","CO",2.04,"2 ppm","D"
"8/29/25 10:21","T-API","CO",2,"2 ppm","D"
"8/29/25 10:22","T-API","CO",2.03,"2 ppm","D"
"8/29/25 10:23","T-API","CO",2.04,"2 ppm","D"
"8/29/25 10:24","T-API","CO",2,"2 ppm","D"
"8/29/25 10:25","T-API","CO",2.03,"2 ppm","D"
"8/29/25 10:26","T-API","CO",2,"2 ppm","D"
"8/29/25 10:27","T-API","CO",2,"2 ppm","D"
"8/29/25 10:28","T-API","CO",2.02,"2 ppm","D"
"8/29/25 10:29","T-API","CO",2,"2 ppm","D"
"8/29/25 10:30","T-API","CO",2.02,"2 ppm","D"
"8/29/25 10:31","T-API","CO",2,"2 ppm","D"
"8/29/25 10:32","T-API","CO",2.01,"2 ppm","D"
"8/29/25 10:33","T-API","CO",2,"2 ppm","D"
"8/29/25 10:34","T-API","CO",2,"2 ppm","D"
"8/29/25 10:35","T-API","CO",2.01,"2 ppm","D"
"8/29/25 10:36","T-API","CO",2.01,"2 ppm","D"
"8/29/25 10:37","T-API","CO",2.02,"2 ppm","D"
"8/29/25 10:38","T-API","CO",2,"2 ppm","D"
"8/29/25 10:39","T-API","CO",2.05,"2 ppm","D"
"8/29/25 10:40","T-API","CO",2.04,"2 ppm","D"
"8/29/25 10:41","T-API","CO",2,"2 ppm","D"
"8/29/25 10:42","T-API","CO",2.03,"2 ppm","D"
"8/29/25 10:43","T-API","CO",2,"2 ppm","D"
"8/29/25 10:44","T-API","CO",2.03,"2 ppm","D"
"8/29/25 10:45","T-API","CO",2.03,"2 ppm","D"
"8/29/25 10:46","T-API","CO",2,"2 ppm","D"
"8/29/25 10:47","T-API","CO",2,"2 ppm","D"
"8/29/25 10:48","T-API","CO",2,"2 ppm","D"
"8/29/25 10:49","T-API","CO",2,"2 ppm","D"
"8/29/25 10:50","T-API","CO",2.05,"2 ppm","D"
"8/29/25 10:51","T-API","CO",2,"2 ppm","D"
"8/29/25 10:52","T-API","CO",2.06,"2 ppm","D"
"8/29/25 10:53","T-API","CO",2.05,"2 ppm","D"
"8/29/25 10:54","T-API","CO",2.04,"2 ppm","D"
"8/29/25 10:55","T-API","CO",2,"2 ppm","D"
"8/29/25 10:56","T-API","CO",2.03,"2 ppm","D"
"8/29/25 10:57","T-API","CO",2.03,"2 ppm","D"
"8/29/25 10:58","T-API","CO",2.03,"2 ppm","D"
"8/29/25 10:59","T-API","CO",2,"2 ppm","D"
"8/29/25 11:00","T-API","CO",2,"2 ppm","D"
"8/29/25 11:01","T-API","CO",2,"2 ppm","D"
"8/29/25 11:02","T-API","CO",2,"2 ppm","D"
"8/29/25 11:03","T-API","CO",2.02,"2 ppm","D"
"8/29/25 11:04","T-API","CO",2,"2 ppm","D"
"8/29/25 11:05","T-API","CO",2.04,"2 ppm","D"
"8/29/25 11:06","T-API","CO",2,"2 ppm","D"
"8/29/25 11:07","T-API","CO",2,"2 ppm","D"
"8/29/25 11:08","T-API","CO",2,"2 ppm","D"
"8/29/25 11:09","T-API","CO",2.02,"2 ppm","D"
"8/29/25 11:10","T-API","CO",2,"2 ppm","D"
"8/29/25 11:11","T-API","CO",2.04,"2 ppm","D"
"8/29/25 11:12","T-API","CO",2,"2 ppm","D"
"8/29/25 11:13","T-API","CO",2,"2 ppm","D"
"8/29/25 11:14","T-API","CO",2,"2 ppm","D"
"8/29/25 11:15","T-API","CO",2,"2 ppm","D"
"8/29/25 11:16","T-API","CO",2,"2 ppm","D"
"8/29/25 11:17","T-API","CO",2,"2 ppm","D"
"8/29/25 11:18","T-API","CO",2,"2 ppm","D"
"8/29/25 11:19","T-API","CO",2.05,"2 ppm","D"
"8/29/25 11:20","T-API","CO",2,"2 ppm","D"
"8/29/25 11:21","T-API","CO",2.05,"2 ppm","D"
"8/29/25 11:22","T-API","CO",2,"2 ppm","D"
"8/29/25 11:23","T-API","CO",2,"2 ppm","D"
"8/29/25 11:24","T-API","CO",2,"2 ppm","D"
"8/29/25 11:25","T-API","CO",2.05,"2 ppm","D"
"8/29/25 11:26","T-API","CO",2.05,"2 ppm","D"
"8/29/25 11:27","T-API","CO",2,"2 ppm","D"
"8/29/25 11:28","T-API","CO",2,"2 ppm","D"
"8/29/25 11:29","T-API","CO",2.04,"2 ppm","D"
"8/29/25 11:30","T-API","CO",2.04,"2 ppm","D"
"8/29/25 11:31","T-API","CO",2.04,"2 ppm","D"
"8/29/25 11:32","T-API","CO",2,"2 ppm","D"
"8/29/25 11:33","T-API","CO",2.06,"2 ppm","D"
