"date","device","poll","conc","vg","conex"
"8/22/25 7:41","49C","O3","171.233","180 ppb","M"
"8/22/25 7:42","49C","O3","173.008","180 ppb","M"
"8/22/25 7:43","49C","O3","173.207","180 ppb","M"
"8/22/25 7:44","49C","O3","173.662","180 ppb","M"
"8/22/25 7:45","49C","O3","171.233","180 ppb","M"
"8/22/25 7:46","49C","O3","173.153","180 ppb","M"
"8/22/25 7:47","49C","O3","174.473","180 ppb","M"
"8/22/25 7:48","49C","O3","174.367","180 ppb","M"
"8/22/25 7:49","49C","O3","174.333","180 ppb","M"
"8/22/25 7:50","49C","O3","174.467","180 ppb","M"
"8/22/25 7:51","49C","O3","173.993","180 ppb","M"
"8/22/25 7:52","49C","O3","173.980","180 ppb","M"
"8/22/25 7:53","49C","O3","174.407","180 ppb","M"
"8/22/25 7:54","49C","O3","175.318","180 ppb","M"
"8/22/25 7:55","49C","O3","175.573","180 ppb","M"
"8/22/25 7:56","49C","O3","175.540","180 ppb","M"
"8/22/25 7:57","49C","O3","174.580","180 ppb","M"
"8/22/25 7:58","49C","O3","174.367","180 ppb","M"
"8/22/25 7:59","49C","O3","175.367","180 ppb","M"
"8/22/25 8:00","49C","O3","176.520","180 ppb","M"
"8/22/25 8:01","49C","O3","176.493","180 ppb","M"
"8/22/25 8:02","49C","O3","175.207","180 ppb","M"
"8/22/25 8:03","49C","O3","174.867","180 ppb","M"
"8/22/25 8:04","49C","O3","174.467","180 ppb","M"
"8/22/25 8:05","49C","O3","175.220","180 ppb","M"
"8/22/25 8:06","49C","O3","175.647","180 ppb","M"
"8/22/25 8:07","49C","O3","175.640","180 ppb","M"
"8/22/25 8:08","49C","O3","175.613","180 ppb","M"
"8/22/25 8:09","49C","O3","174.260","180 ppb","M"
"8/22/25 8:10","49C","O3","173.567","180 ppb","M"
"8/22/25 8:11","49C","O3","174.967","180 ppb","M"
"8/22/25 8:12","49C","O3","176.107","180 ppb","M"
"8/22/25 8:13","49C","O3","175.973","180 ppb","M"
"8/22/25 8:14","49C","O3","175.570","180 ppb","M"
"8/22/25 8:15","49C","O3","175.905","180 ppb","M"
"8/22/25 8:16","49C","O3","176.473","180 ppb","M"
"8/22/25 8:17","49C","O3","176.423","180 ppb","M"
"8/22/25 8:18","49C","O3","176.135","180 ppb","M"
"8/22/25 8:19","49C","O3","175.553","180 ppb","M"
"8/22/25 8:20","49C","O3","175.688","180 ppb","M"
