"date","device","poll","c","vg","conex"
"8/6/25 11:26","APNA-370","NO",175.8,"181 ppb","D"
"8/6/25 11:27","APNA-370","NO",177.7,"181 ppb","D"
"8/6/25 11:28","APNA-370","NO",178.9,"181 ppb","D"
"8/6/25 11:29","APNA-370","NO",179.1,"181 ppb","D"
"8/6/25 11:30","APNA-370","NO",179.3,"181 ppb","D"
"8/6/25 11:31","APNA-370","NO",179.3,"181 ppb","D"
"8/6/25 11:32","APNA-370","NO",179.2,"181 ppb","D"
"8/6/25 11:33","APNA-370","NO",179.8,"181 ppb","D"
"8/6/25 11:34","APNA-370","NO",179.7,"181 ppb","D"
"8/6/25 11:35","APNA-370","NO",179.7,"181 ppb","D"
"8/6/25 11:36","APNA-370","NO",179.5,"181 ppb","D"
"8/6/25 11:37","APNA-370","NO",179.4,"181 ppb","D"
"8/6/25 11:38","APNA-370","NO",179.7,"181 ppb","D"
"8/6/25 11:39","APNA-370","NO",179.9,"181 ppb","D"
"8/6/25 11:40","APNA-370","NO",180.2,"181 ppb","D"
"8/6/25 11:41","APNA-370","NO",180.4,"181 ppb","D"
"8/6/25 11:42","APNA-370","NO",180.2,"181 ppb","D"
"8/6/25 11:43","APNA-370","NO",179.8,"181 ppb","D"
"8/6/25 11:44","APNA-370","NO",179.6,"181 ppb","D"
"8/6/25 11:45","APNA-370","NO",179.8,"181 ppb","D"
"8/6/25 11:46","APNA-370","NO",180.3,"181 ppb","D"
"8/6/25 11:47","APNA-370","NO",180.1,"181 ppb","D"
"8/6/25 11:48","APNA-370","NO",179.6,"181 ppb","D"
"8/6/25 11:49","APNA-370","NO",179.6,"181 ppb","D"
"8/6/25 11:50","APNA-370","NO",179.5,"181 ppb","D"
"8/6/25 11:51","APNA-370","NO",179.7,"181 ppb","D"
"8/6/25 11:52","APNA-370","NO",180,"181 ppb","D"
"8/6/25 11:53","APNA-370","NO",179.8,"181 ppb","D"
"8/6/25 11:54","APNA-370","NO",179.7,"181 ppb","D"
"8/6/25 11:55","APNA-370","NO",179.8,"181 ppb","D"
"8/6/25 11:56","APNA-370","NO",179.7,"181 ppb","D"
"8/6/25 11:57","APNA-370","NO",180.4,"181 ppb","D"
"8/6/25 11:58","APNA-370","NO",180.3,"181 ppb","D"
"8/6/25 11:59","APNA-370","NO",180.4,"181 ppb","D"
"8/6/25 12:00","APNA-370","NO",180.2,"181 ppb","D"
"8/6/25 12:01","APNA-370","NO",180.4,"181 ppb","D"
"8/6/25 12:02","APNA-370","NO",180.7,"181 ppb","D"
"8/6/25 12:03","APNA-370","NO",180.3,"181 ppb","D"
"8/6/25 12:04","APNA-370","NO",179.9,"181 ppb","D"
"8/6/25 12:05","APNA-370","NO",180.3,"181 ppb","D"
"8/6/25 12:06","APNA-370","NO",180.8,"181 ppb","D"
"8/6/25 12:07","APNA-370","NO",180.3,"181 ppb","D"
"8/6/25 12:08","APNA-370","NO",180,"181 ppb","D"
"8/6/25 12:09","APNA-370","NO",180.3,"181 ppb","D"
"8/6/25 12:10","APNA-370","NO",180.4,"181 ppb","D"
"8/6/25 12:11","APNA-370","NO",180.6,"181 ppb","D"
"8/6/25 12:12","APNA-370","NO",180.4,"181 ppb","D"
"8/6/25 12:13","APNA-370","NO",180.7,"181 ppb","D"
"8/6/25 12:14","APNA-370","NO",180.8,"181 ppb","D"
"8/6/25 12:15","APNA-370","NO",180.7,"181 ppb","D"
"8/6/25 12:16","APNA-370","NO",180.6,"181 ppb","D"
"8/6/25 12:17","APNA-370","NO",180.2,"181 ppb","D"
"8/6/25 12:18","APNA-370","NO",180.1,"181 ppb","D"
"8/6/25 12:19","APNA-370","NO",179.6,"181 ppb","D"
"8/6/25 12:20","APNA-370","NO",179.6,"181 ppb","D"
"8/6/25 12:21","APNA-370","NO",180.4,"181 ppb","D"
"8/6/25 12:22","APNA-370","NO",180.2,"181 ppb","D"
"8/6/25 12:23","APNA-370","NO",180.2,"181 ppb","D"
"8/6/25 12:24","APNA-370","NO",181,"181 ppb","D"
"8/6/25 12:25","APNA-370","NO",180.6,"181 ppb","D"
"8/6/25 12:26","APNA-370","NO",180.7,"181 ppb","D"
"8/6/25 12:27","APNA-370","NO",181.4,"181 ppb","D"
"8/6/25 12:28","APNA-370","NO",182.1,"181 ppb","D"
"8/6/25 12:29","APNA-370","NO",180.9,"181 ppb","D"
"8/6/25 12:30","APNA-370","NO",180.7,"181 ppb","D"
"8/6/25 12:31","APNA-370","NO",180.6,"181 ppb","D"
"8/6/25 12:32","APNA-370","NO",180.8,"181 ppb","D"
"8/6/25 12:33","APNA-370","NO",181,"181 ppb","D"
"8/6/25 12:34","APNA-370","NO",181.3,"181 ppb","D"
