"date","device","poll","conc","vg","conex"
"08/13/25 13:42","49C","O3","80.859","80 ppb","D"
"08/13/25 13:43","49C","O3","81.333","80 ppb","D"
"08/13/25 13:44","49C","O3","81.039","80 ppb","D"
"08/13/25 13:45","49C","O3","80.89","80 ppb","D"
"08/13/25 13:46","49C","O3","81.866","80 ppb","D"
"08/13/25 13:47","49C","O3","81.477","80 ppb","D"
"08/13/25 13:48","49C","O3","81.074","80 ppb","D"
"08/13/25 13:49","49C","O3","81.246","80 ppb","D"
"08/13/25 13:50","49C","O3","80.997","80 ppb","D"
"08/13/25 13:51","49C","O3","80.542","80 ppb","D"
"08/13/25 13:52","49C","O3","81.395","80 ppb","D"
"08/13/25 13:53","49C","O3","80.276","80 ppb","D"
"08/13/25 13:54","49C","O3","80.03","80 ppb","D"
"08/13/25 13:55","49C","O3","80.663","80 ppb","D"
"08/13/25 13:56","49C","O3","80.215","80 ppb","D"
"08/13/25 13:57","49C","O3","80.944","80 ppb","D"
"08/13/25 13:58","49C","O3","80.924","80 ppb","D"
"08/13/25 13:59","49C","O3","80.72","80 ppb","D"
"08/13/25 14:00","49C","O3","80.913","80 ppb","D"
"08/13/25 14:01","49C","O3","80.673","80 ppb","D"
"08/13/25 14:02","49C","O3","80.487","80 ppb","D"
"08/13/25 14:03","49C","O3","80.182","80 ppb","D"
"08/13/25 14:04","49C","O3","80.82","80 ppb","D"
"08/13/25 14:05","49C","O3","80.205","80 ppb","D"
"08/13/25 14:06","49C","O3","79.717","80 ppb","D"
"08/13/25 14:07","49C","O3","80.244","80 ppb","D"
"08/13/25 14:08","49C","O3","80.27","80 ppb","D"
"08/13/25 14:09","49C","O3","80.815","80 ppb","D"
"08/13/25 14:10","49C","O3","80.748","80 ppb","D"
"08/13/25 14:11","49C","O3","80.525","80 ppb","D"
"08/13/25 14:12","49C","O3","80.346","80 ppb","D"
"08/13/25 14:13","49C","O3","80.751","80 ppb","D"
"08/13/25 14:14","49C","O3","80.704","80 ppb","D"
"08/13/25 14:15","49C","O3","80.244","80 ppb","D"
"08/13/25 14:16","49C","O3","80.343","80 ppb","D"
"08/13/25 14:17","49C","O3","79.91","80 ppb","D"
"08/13/25 14:18","49C","O3","79.785","80 ppb","D"
"08/13/25 14:19","49C","O3","80.637","80 ppb","D"
"08/13/25 14:20","49C","O3","81.005","80 ppb","D"
"08/13/25 14:21","49C","O3","80.895","80 ppb","D"
"08/13/25 14:22","49C","O3","80.787","80 ppb","D"
"08/13/25 14:23","49C","O3","80.419","80 ppb","D"
"08/13/25 14:24","49C","O3","80.46","80 ppb","D"
"08/13/25 14:25","49C","O3","80.727","80 ppb","D"
"08/13/25 14:26","49C","O3","80.943","80 ppb","D"
"08/13/25 14:27","49C","O3","80.33","80 ppb","D"
"08/13/25 14:28","49C","O3","80.492","80 ppb","D"
"08/13/25 14:29","49C","O3","80.77","80 ppb","D"
"08/13/25 14:30","49C","O3","80.05","80 ppb","D"
"08/13/25 14:31","49C","O3","81.05","80 ppb","D"
"08/13/25 14:32","49C","O3","80.935","80 ppb","D"
"08/13/25 14:33","49C","O3","80.764","80 ppb","D"
"08/13/25 14:34","49C","O3","80.839","80 ppb","D"
"08/13/25 14:35","49C","O3","80.879","80 ppb","D"
"08/13/25 14:36","49C","O3","80.783","80 ppb","D"
"08/13/25 14:37","49C","O3","80.391","80 ppb","D"
"08/13/25 14:38","49C","O3","80.587","80 ppb","D"
"08/13/25 14:39","49C","O3","80.271","80 ppb","D"
"08/13/25 14:40","49C","O3","80.791","80 ppb","D"
"08/13/25 14:41","49C","O3","80.068","80 ppb","D"
"08/13/25 14:42","49C","O3","80.581","80 ppb","D"
"08/13/25 14:43","49C","O3","80.312","80 ppb","D"
"08/13/25 14:44","49C","O3","80.176","80 ppb","D"
"08/13/25 14:45","49C","O3","80.161","80 ppb","D"
"08/13/25 14:46","49C","O3","80.361","80 ppb","D"
"08/13/25 14:47","49C","O3","80.529","80 ppb","D"
"08/13/25 14:48","49C","O3","80.735","80 ppb","D"
"08/13/25 14:49","49C","O3","80.747","80 ppb","D"
"08/13/25 14:50","49C","O3","80.733","80 ppb","D"
"08/13/25 14:51","49C","O3","80.649","80 ppb","D"
"08/13/25 14:52","49C","O3","80.941","80 ppb","D"
"08/13/25 14:53","49C","O3","81.169","80 ppb","D"
"08/13/25 14:54","49C","O3","81.042","80 ppb","D"
"08/13/25 14:55","49C","O3","80.446","80 ppb","D"
"08/13/25 14:56","49C","O3","81.255","80 ppb","D"
"08/13/25 14:57","49C","O3","80.756","80 ppb","D"
"08/13/25 14:58","49C","O3","80.461","80 ppb","D"
"08/13/25 14:59","49C","O3","80.421","80 ppb","D"
"08/13/25 15:00","49C","O3","80.723","80 ppb","D"
"08/13/25 15:01","49C","O3","80.561","80 ppb","D"
"08/13/25 15:02","49C","O3","80.702","80 ppb","D"
"08/13/25 15:03","49C","O3","80.473","80 ppb","D"
"08/13/25 15:04","49C","O3","81.113","80 ppb","D"
