"date","device","poll","conc","vg","conex"
"8/22/25 13:22","49C","O3","41.914","40 ppb","M"
"8/22/25 13:23","49C","O3","41.777","40 ppb","M"
"8/22/25 13:24","49C","O3","41.296","40 ppb","M"
"8/22/25 13:25","49C","O3","40.380","40 ppb","M"
"8/22/25 13:26","49C","O3","40.576","40 ppb","M"
"8/22/25 13:27","49C","O3","40.394","40 ppb","M"
"8/22/25 13:28","49C","O3","40.439","40 ppb","M"
"8/22/25 13:29","49C","O3","40.333","40 ppb","M"
"8/22/25 13:30","49C","O3","40.391","40 ppb","M"
"8/22/25 13:31","49C","O3","40.073","40 ppb","M"
"8/22/25 13:32","49C","O3","39.977","40 ppb","M"
"8/22/25 13:33","49C","O3","40.047","40 ppb","M"
"8/22/25 13:34","49C","O3","40.059","40 ppb","M"
"8/22/25 13:35","49C","O3","39.813","40 ppb","M"
"8/22/25 13:36","49C","O3","39.903","40 ppb","M"
"8/22/25 13:37","49C","O3","40.177","40 ppb","M"
"8/22/25 13:38","49C","O3","40.545","40 ppb","M"
"8/22/25 13:39","49C","O3","40.245","40 ppb","M"
"8/22/25 13:40","49C","O3","40.531","40 ppb","M"
"8/22/25 13:41","49C","O3","40.137","40 ppb","M"
"8/22/25 13:42","49C","O3","40.276","40 ppb","M"
"8/22/25 13:43","49C","O3","39.957","40 ppb","M"
"8/22/25 13:44","49C","O3","40.117","40 ppb","M"
"8/22/25 13:45","49C","O3","40.273","40 ppb","M"
"8/22/25 13:46","49C","O3","40.142","40 ppb","M"
"8/22/25 13:47","49C","O3","40.245","40 ppb","M"
"8/22/25 13:48","49C","O3","40.001","40 ppb","M"
"8/22/25 13:49","49C","O3","39.641","40 ppb","M"
"8/22/25 13:50","49C","O3","39.323","40 ppb","M"
"8/22/25 13:51","49C","O3","39.951","40 ppb","M"
"8/22/25 13:52","49C","O3","40.009","40 ppb","M"
"8/22/25 13:53","49C","O3","39.922","40 ppb","M"
"8/22/25 13:54","49C","O3","40.091","40 ppb","M"
"8/22/25 13:55","49C","O3","40.468","40 ppb","M"
"8/22/25 13:56","49C","O3","40.445","40 ppb","M"
"8/22/25 13:57","49C","O3","40.795","40 ppb","M"
"8/22/25 13:58","49C","O3","40.485","40 ppb","M"
"8/22/25 13:59","49C","O3","40.642","40 ppb","M"
"8/22/25 14:00","49C","O3","40.091","40 ppb","M"
"8/22/25 14:01","49C","O3","40.023","40 ppb","M"
"8/22/25 14:02","49C","O3","40.099","40 ppb","M"
"8/22/25 14:03","49C","O3","40.235","40 ppb","M"
"8/22/25 14:04","49C","O3","40.162","40 ppb","M"
"8/22/25 14:05","49C","O3","40.165","40 ppb","M"
"8/22/25 14:06","49C","O3","40.401","40 ppb","M"
"8/22/25 14:07","49C","O3","40.008","40 ppb","M"
"8/22/25 14:08","49C","O3","39.914","40 ppb","M"
"8/22/25 14:09","49C","O3","39.936","40 ppb","M"
"8/22/25 14:10","49C","O3","40.460","40 ppb","M"
"8/22/25 14:11","49C","O3","40.192","40 ppb","M"
"8/22/25 14:12","49C","O3","39.947","40 ppb","M"
"8/22/25 14:13","49C","O3","39.947","40 ppb","M"
"8/22/25 14:14","49C","O3","39.517","40 ppb","M"
"8/22/25 14:15","49C","O3","39.589","40 ppb","M"
"8/22/25 14:16","49C","O3","40.157","40 ppb","M"
"8/22/25 14:17","49C","O3","40.180","40 ppb","M"
"8/22/25 14:18","49C","O3","40.389","40 ppb","M"
"8/22/25 14:19","49C","O3","40.190","40 ppb","M"
"8/22/25 14:20","49C","O3","40.495","40 ppb","M"
"8/22/25 14:21","49C","O3","40.528","40 ppb","M"
"8/22/25 14:22","49C","O3","40.611","40 ppb","M"
"8/22/25 14:23","49C","O3","40.713","40 ppb","M"
"8/22/25 14:24","49C","O3","40.689","40 ppb","M"
"8/22/25 14:25","49C","O3","40.355","40 ppb","M"
"8/22/25 14:26","49C","O3","39.561","40 ppb","M"
"8/22/25 14:27","49C","O3","40.069","40 ppb","M"
"8/22/25 14:28","49C","O3","40.179","40 ppb","M"
"8/22/25 14:29","49C","O3","39.838","40 ppb","M"
"8/22/25 14:30","49C","O3","40.029","40 ppb","M"
"8/22/25 14:31","49C","O3","40.232","40 ppb","M"
"8/22/25 14:32","49C","O3","39.789","40 ppb","M"
"8/22/25 14:33","49C","O3","40.246","40 ppb","M"
"8/22/25 14:34","49C","O3","40.392","40 ppb","M"
"8/22/25 14:35","49C","O3","40.032","40 ppb","M"
"8/22/25 14:36","49C","O3","39.935","40 ppb","M"
"8/22/25 14:37","49C","O3","40.013","40 ppb","M"
"8/22/25 14:38","49C","O3","40.187","40 ppb","M"
"8/22/25 14:39","49C","O3","40.153","40 ppb","M"
"8/22/25 14:40","49C","O3","40.170","40 ppb","M"
"8/22/25 14:41","49C","O3","39.999","40 ppb","M"
"8/22/25 14:42","49C","O3","40.428","40 ppb","M"
"8/22/25 14:43","49C","O3","40.227","40 ppb","M"
