"date","device","poll","c","vg","conex"
"9/9/25 12:09","HAPSA-370","SO2",60.5,"61 ppb","M"
"9/9/25 12:10","HAPSA-370","SO2",59.7,"61 ppb","M"
"9/9/25 12:11","HAPSA-370","SO2",59.3,"61 ppb","M"
"9/9/25 12:12","HAPSA-370","SO2",59.4,"61 ppb","M"
"9/9/25 12:13","HAPSA-370","SO2",59.2,"61 ppb","M"
"9/9/25 12:14","HAPSA-370","SO2",59.2,"61 ppb","M"
"9/9/25 12:15","HAPSA-370","SO2",59.3,"61 ppb","M"
"9/9/25 12:16","HAPSA-370","SO2",59.1,"61 ppb","M"
"9/9/25 12:17","HAPSA-370","SO2",59.1,"61 ppb","M"
"9/9/25 12:18","HAPSA-370","SO2",59.2,"61 ppb","M"
"9/9/25 12:19","HAPSA-370","SO2",59,"61 ppb","M"
"9/9/25 12:20","HAPSA-370","SO2",59,"61 ppb","M"
"9/9/25 12:21","HAPSA-370","SO2",58.7,"61 ppb","M"
"9/9/25 12:22","HAPSA-370","SO2",58.7,"61 ppb","M"
"9/9/25 12:23","HAPSA-370","SO2",58.8,"61 ppb","M"
"9/9/25 12:24","HAPSA-370","SO2",58.6,"61 ppb","M"
"9/9/25 12:25","HAPSA-370","SO2",58.9,"61 ppb","M"
"9/9/25 12:26","HAPSA-370","SO2",58.5,"61 ppb","M"
"9/9/25 12:27","HAPSA-370","SO2",58.5,"61 ppb","M"
"9/9/25 12:28","HAPSA-370","SO2",58.9,"61 ppb","M"
"9/9/25 12:29","HAPSA-370","SO2",59.1,"61 ppb","M"
"9/9/25 12:30","HAPSA-370","SO2",59,"61 ppb","M"
"9/9/25 12:31","HAPSA-370","SO2",58.9,"61 ppb","M"
"9/9/25 12:32","HAPSA-370","SO2",58.6,"61 ppb","M"
"9/9/25 12:33","HAPSA-370","SO2",58.9,"61 ppb","M"
"9/9/25 12:34","HAPSA-370","SO2",59.1,"61 ppb","M"
"9/9/25 12:35","HAPSA-370","SO2",59.3,"61 ppb","M"
"9/9/25 12:36","HAPSA-370","SO2",59.4,"61 ppb","M"
"9/9/25 12:37","HAPSA-370","SO2",59.1,"61 ppb","M"
"9/9/25 12:38","HAPSA-370","SO2",59.2,"61 ppb","M"
"9/9/25 12:39","HAPSA-370","SO2",59.2,"61 ppb","M"
"9/9/25 12:40","HAPSA-370","SO2",59.3,"61 ppb","M"
"9/9/25 12:41","HAPSA-370","SO2",58.9,"61 ppb","M"
"9/9/25 12:42","HAPSA-370","SO2",58.8,"61 ppb","M"
"9/9/25 12:43","HAPSA-370","SO2",58.8,"61 ppb","M"
"9/9/25 12:44","HAPSA-370","SO2",59.1,"61 ppb","M"
"9/9/25 12:45","HAPSA-370","SO2",59.4,"61 ppb","M"
"9/9/25 12:46","HAPSA-370","SO2",59.4,"61 ppb","M"
"9/9/25 12:47","HAPSA-370","SO2",59.2,"61 ppb","M"
"9/9/25 12:48","HAPSA-370","SO2",59.3,"61 ppb","M"
"9/9/25 12:49","HAPSA-370","SO2",59.1,"61 ppb","M"
"9/9/25 12:50","HAPSA-370","SO2",59,"61 ppb","M"
"9/9/25 12:51","HAPSA-370","SO2",59,"61 ppb","M"
"9/9/25 12:52","HAPSA-370","SO2",58.9,"61 ppb","M"
"9/9/25 12:53","HAPSA-370","SO2",59,"61 ppb","M"
"9/9/25 12:54","HAPSA-370","SO2",58.8,"61 ppb","M"
"9/9/25 12:55","HAPSA-370","SO2",59,"61 ppb","M"
"9/9/25 12:56","HAPSA-370","SO2",59.2,"61 ppb","M"
"9/9/25 12:57","HAPSA-370","SO2",58.8,"61 ppb","M"
"9/9/25 12:58","HAPSA-370","SO2",58.8,"61 ppb","M"
"9/9/25 12:59","HAPSA-370","SO2",59.1,"61 ppb","M"
"9/9/25 13:00","HAPSA-370","SO2",59,"61 ppb","M"
"9/9/25 13:01","HAPSA-370","SO2",58.7,"61 ppb","M"
