"date","device","poll","conc","vg","conex"
"6/8/25 13:02","APNA-370","NO2",116.7,"120 ppb","D"
"6/8/25 13:03","APNA-370","NO2",116.6,"120 ppb","D"
"6/8/25 13:04","APNA-370","NO2",116.8,"120 ppb","D"
"6/8/25 13:05","APNA-370","NO2",117.1,"120 ppb","D"
"6/8/25 13:06","APNA-370","NO2",117.3,"120 ppb","D"
"6/8/25 13:07","APNA-370","NO2",117.3,"120 ppb","D"
"6/8/25 13:08","APNA-370","NO2",117.6,"120 ppb","D"
"6/8/25 13:09","APNA-370","NO2",117.8,"120 ppb","D"
"6/8/25 13:10","APNA-370","NO2",117.6,"120 ppb","D"
"6/8/25 13:11","APNA-370","NO2",117.5,"120 ppb","D"
"6/8/25 13:12","APNA-370","NO2",119,"120 ppb","D"
"6/8/25 13:01","APNA-370","NO2",118.9,"120 ppb","D"
"6/8/25 13:14","APNA-370","NO2",119,"120 ppb","D"
"6/8/25 13:15","APNA-370","NO2",120.2,"120 ppb","D"
"6/8/25 13:16","APNA-370","NO2",119.4,"120 ppb","D"
"6/8/25 13:17","APNA-370","NO2",118.9,"120 ppb","D"
"6/8/25 13:18","APNA-370","NO2",117.1,"120 ppb","D"
"6/8/25 13:19","APNA-370","NO2",118,"120 ppb","D"
"6/8/25 13:20","APNA-370","NO2",119.7,"120 ppb","D"
"6/8/25 13:21","APNA-370","NO2",120.1,"120 ppb","D"
"6/8/25 13:22","APNA-370","NO2",120.1,"120 ppb","D"
"6/8/25 13:23","APNA-370","NO2",119.4,"120 ppb","D"
"6/8/25 13:24","APNA-370","NO2",119.4,"120 ppb","D"
"6/8/25 13:25","APNA-370","NO2",119.3,"120 ppb","D"
"6/8/25 13:26","APNA-370","NO2",118.8,"120 ppb","D"
"6/8/25 13:27","APNA-370","NO2",117.7,"120 ppb","D"
"6/8/25 13:28","APNA-370","NO2",119.1,"120 ppb","D"
"6/8/25 13:29","APNA-370","NO2",119.3,"120 ppb","D"
"6/8/25 13:30","APNA-370","NO2",118.2,"120 ppb","D"
"6/8/25 13:31","APNA-370","NO2",117,"120 ppb","D"
"6/8/25 13:32","APNA-370","NO2",120.1,"120 ppb","D"
"6/8/25 13:33","APNA-370","NO2",125.6,"120 ppb","D"
"6/8/25 13:34","APNA-370","NO2",125.9,"120 ppb","D"
"6/8/25 13:35","APNA-370","NO2",125.9,"120 ppb","D"
"6/8/25 13:36","APNA-370","NO2",126.2,"120 ppb","D"
"6/8/25 13:37","APNA-370","NO2",126.6,"120 ppb","D"
"6/8/25 13:38","APNA-370","NO2",126.1,"120 ppb","D"
"6/8/25 13:39","APNA-370","NO2",125.8,"120 ppb","D"
"6/8/25 13:40","APNA-370","NO2",126,"120 ppb","D"
