"date","device","poll","c","vg","conex"
"9/4/25 13:42","HAPSA-370","SO2",20.6,"20 ppb","D"
"9/4/25 13:43","HAPSA-370","SO2",20.2,"20 ppb","D"
"9/4/25 13:44","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 13:45","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 13:46","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 13:47","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 13:48","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 13:49","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 13:50","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 13:51","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 13:52","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 13:53","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 13:54","HAPSA-370","SO2",20,"20 ppb","D"
"9/4/25 13:55","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 13:56","HAPSA-370","SO2",20,"20 ppb","D"
"9/4/25 13:57","HAPSA-370","SO2",20,"20 ppb","D"
"9/4/25 13:58","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 13:59","HAPSA-370","SO2",20.2,"20 ppb","D"
"9/4/25 14:00","HAPSA-370","SO2",20.2,"20 ppb","D"
"9/4/25 14:01","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 14:02","HAPSA-370","SO2",20,"20 ppb","D"
"9/4/25 14:03","HAPSA-370","SO2",20,"20 ppb","D"
"9/4/25 14:04","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 14:05","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 14:06","HAPSA-370","SO2",20,"20 ppb","D"
"9/4/25 14:07","HAPSA-370","SO2",20.1,"20 ppb","D"
"9/4/25 14:08","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 14:09","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 14:10","HAPSA-370","SO2",20.3,"20 ppb","D"
"9/4/25 14:11","HAPSA-370","SO2",20.2,"20 ppb","D"
"9/4/25 14:12","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 14:13","HAPSA-370","SO2",19.7,"20 ppb","D"
"9/4/25 14:14","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 14:15","HAPSA-370","SO2",19.7,"20 ppb","D"
"9/4/25 14:16","HAPSA-370","SO2",19.6,"20 ppb","D"
"9/4/25 14:17","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 14:18","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 14:19","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 14:20","HAPSA-370","SO2",19.9,"20 ppb","D"
"9/4/25 14:21","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 14:22","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 14:23","HAPSA-370","SO2",19.8,"20 ppb","D"
"9/4/25 14:24","HAPSA-370","SO2",20,"20 ppb","D"
