"date","device","poll","conc","vg","conex"
"08/27/25 09:01","T-API","CO",0,"0 ppm","D"
"08/27/25 09:02","T-API","CO",0,"0 ppm","D"
"08/27/25 09:03","T-API","CO",0,"0 ppm","D"
"08/27/25 09:04","T-API","CO",0,"0 ppm","D"
"08/27/25 09:05","T-API","CO",0,"0 ppm","D"
"08/27/25 09:06","T-API","CO",0,"0 ppm","D"
"08/27/25 09:07","T-API","CO",0,"0 ppm","D"
"08/27/25 09:08","T-API","CO",0,"0 ppm","D"
"08/27/25 09:09","T-API","CO",0,"0 ppm","D"
"08/27/25 09:10","T-API","CO",0,"0 ppm","D"
"08/27/25 09:11","T-API","CO",0,"0 ppm","D"
"08/27/25 09:12","T-API","CO",0,"0 ppm","D"
"08/27/25 09:13","T-API","CO",0,"0 ppm","D"
"08/27/25 09:14","T-API","CO",0,"0 ppm","D"
"08/27/25 09:15","T-API","CO",0,"0 ppm","D"
"08/27/25 09:16","T-API","CO",0,"0 ppm","D"
"08/27/25 09:17","T-API","CO",0,"0 ppm","D"
"08/27/25 09:18","T-API","CO",0,"0 ppm","D"
"08/27/25 09:19","T-API","CO",0.01,"0 ppm","D"
"08/27/25 09:20","T-API","CO",0.02,"0 ppm","D"
"08/27/25 09:21","T-API","CO",0.02,"0 ppm","D"
"08/27/25 09:22","T-API","CO",0.02,"0 ppm","D"
"08/27/25 09:23","T-API","CO",0.01,"0 ppm","D"
"08/27/25 09:24","T-API","CO",0.013,"0 ppm","D"
"08/27/25 09:25","T-API","CO",0.02,"0 ppm","D"
"08/27/25 09:26","T-API","CO",0.023,"0 ppm","D"
"08/27/25 09:27","T-API","CO",0.036,"0 ppm","D"
"08/27/25 09:28","T-API","CO",0.03,"0 ppm","D"
"08/27/25 09:29","T-API","CO",0.017,"0 ppm","D"
"08/27/25 09:30","T-API","CO",0,"0 ppm","D"
"08/27/25 09:31","T-API","CO",0,"0 ppm","D"
"08/27/25 09:32","T-API","CO",0,"0 ppm","D"
"08/27/25 09:33","T-API","CO",0,"0 ppm","D"
"08/27/25 09:34","T-API","CO",0,"0 ppm","D"
"08/27/25 09:35","T-API","CO",0,"0 ppm","D"
"08/27/25 09:36","T-API","CO",0,"0 ppm","D"
"08/27/25 09:37","T-API","CO",0,"0 ppm","D"
"08/27/25 09:38","T-API","CO",0,"0 ppm","D"
"08/27/25 09:39","T-API","CO",0,"0 ppm","D"
"08/27/25 09:40","T-API","CO",0,"0 ppm","D"
"08/27/25 09:41","T-API","CO",0,"0 ppm","D"
"08/27/25 09:42","T-API","CO",0,"0 ppm","D"
"08/27/25 09:43","T-API","CO",0,"0 ppm","D"
"08/27/25 09:44","T-API","CO",0,"0 ppm","D"
"08/27/25 09:45","T-API","CO",0,"0 ppm","D"
"08/27/25 09:46","T-API","CO",0,"0 ppm","D"
"08/27/25 09:47","T-API","CO",0,"0 ppm","D"
