"date","device","poll","conc","vg","conex"
"08/13/25 12:07","49C","O3","120.058","120 ppb","D"
"08/13/25 12:08","49C","O3","119.792","120 ppb","D"
"08/13/25 12:09","49C","O3","120.417","120 ppb","D"
"08/13/25 12:10","49C","O3","120.692","120 ppb","D"
"08/13/25 12:11","49C","O3","120.392","120 ppb","D"
"08/13/25 12:12","49C","O3","120.1","120 ppb","D"
"08/13/25 12:13","49C","O3","120.133","120 ppb","D"
"08/13/25 12:14","49C","O3","120.208","120 ppb","D"
"08/13/25 12:15","49C","O3","120.758","120 ppb","D"
"08/13/25 12:16","49C","O3","120.675","120 ppb","D"
"08/13/25 12:17","49C","O3","120.167","120 ppb","D"
"08/13/25 12:18","49C","O3","120.675","120 ppb","D"
"08/13/25 12:19","49C","O3","121","120 ppb","D"
"08/13/25 12:20","49C","O3","120.767","120 ppb","D"
"08/13/25 12:21","49C","O3","120.117","120 ppb","D"
"08/13/25 12:22","49C","O3","119.852","120 ppb","D"
"08/13/25 12:23","49C","O3","120.18","120 ppb","D"
"08/13/25 12:24","49C","O3","120.28","120 ppb","D"
"08/13/25 12:25","49C","O3","120.287","120 ppb","D"
"08/13/25 12:26","49C","O3","120.26","120 ppb","D"
"08/13/25 12:27","49C","O3","120.753","120 ppb","D"
"08/13/25 12:28","49C","O3","120.48","120 ppb","D"
"08/13/25 12:29","49C","O3","120.287","120 ppb","D"
"08/13/25 12:30","49C","O3","120.56","120 ppb","D"
"08/13/25 12:31","49C","O3","121.075","120 ppb","D"
"08/13/25 12:32","49C","O3","121.02","120 ppb","D"
"08/13/25 12:33","49C","O3","120.18","120 ppb","D"
"08/13/25 12:34","49C","O3","120.367","120 ppb","D"
"08/13/25 12:35","49C","O3","120.84","120 ppb","D"
"08/13/25 12:36","49C","O3","120.947","120 ppb","D"
"08/13/25 12:37","49C","O3","120.3","120 ppb","D"
"08/13/25 12:38","49C","O3","121.113","120 ppb","D"
"08/13/25 12:39","49C","O3","120.833","120 ppb","D"
"08/13/25 12:40","49C","O3","121.06","120 ppb","D"
"08/13/25 12:41","49C","O3","120.953","120 ppb","D"
"08/13/25 12:42","49C","O3","121.033","120 ppb","D"
"08/13/25 12:43","49C","O3","120.853","120 ppb","D"
"08/13/25 12:44","49C","O3","120.947","120 ppb","D"
"08/13/25 12:45","49C","O3","121.5","120 ppb","D"
"08/13/25 12:46","49C","O3","120.987","120 ppb","D"
"08/13/25 12:47","49C","O3","120.86","120 ppb","D"
"08/13/25 12:48","49C","O3","120.733","120 ppb","D"
"08/13/25 12:49","49C","O3","121.233","120 ppb","D"
"08/13/25 12:50","49C","O3","120.873","120 ppb","D"
"08/13/25 12:51","49C","O3","120.54","120 ppb","D"
"08/13/25 12:52","49C","O3","120.533","120 ppb","D"
"08/13/25 12:53","49C","O3","121.193","120 ppb","D"
"08/13/25 12:54","49C","O3","121.02","120 ppb","D"
"08/13/25 12:55","49C","O3","121.653","120 ppb","D"
"08/13/25 12:56","49C","O3","120.833","120 ppb","D"
"08/13/25 12:57","49C","O3","121.187","120 ppb","D"
"08/13/25 12:58","49C","O3","121.153","120 ppb","D"
"08/13/25 12:59","49C","O3","121.193","120 ppb","D"
"08/13/25 13:00","49C","O3","121.687","120 ppb","D"
"08/13/25 13:01","49C","O3","121.212","120 ppb","D"
"08/13/25 13:02","49C","O3","120.673","120 ppb","D"
"08/13/25 13:03","49C","O3","120.967","120 ppb","D"
"08/13/25 13:04","49C","O3","120.413","120 ppb","D"
"08/13/25 13:05","49C","O3","119.933","120 ppb","D"
"08/13/25 13:06","49C","O3","120.193","120 ppb","D"
"08/13/25 13:07","49C","O3","119.967","120 ppb","D"
"08/13/25 13:08","49C","O3","119.808","120 ppb","D"
"08/13/25 13:09","49C","O3","119.933","120 ppb","D"
"08/13/25 13:10","49C","O3","119.903","120 ppb","D"
"08/13/25 13:11","49C","O3","120.225","120 ppb","D"
"08/13/25 13:12","49C","O3","120.28","120 ppb","D"
"08/13/25 13:13","49C","O3","120.5","120 ppb","D"
"08/13/25 13:14","49C","O3","120.347","120 ppb","D"
"08/13/25 13:15","49C","O3","120.373","120 ppb","D"
"08/13/25 13:16","49C","O3","120.393","120 ppb","D"
"08/13/25 13:17","49C","O3","121.28","120 ppb","D"
"08/13/25 13:18","49C","O3","120.867","120 ppb","D"
"08/13/25 13:19","49C","O3","120.493","120 ppb","D"
"08/13/25 13:20","49C","O3","120.04","120 ppb","D"
"08/13/25 13:21","49C","O3","120.54","120 ppb","D"
"08/13/25 13:22","49C","O3","120.873","120 ppb","D"
"08/13/25 13:23","49C","O3","121.213","120 ppb","D"
"08/13/25 13:24","49C","O3","121.2","120 ppb","D"
"08/13/25 13:25","49C","O3","121.033","120 ppb","D"
"08/13/25 13:26","49C","O3","120.787","120 ppb","D"
"08/13/25 13:27","49C","O3","121.247","120 ppb","D"
"08/13/25 13:28","49C","O3","120.88","120 ppb","D"
"08/13/25 13:29","49C","O3","120.813","120 ppb","D"
"08/13/25 13:30","49C","O3","121.047","120 ppb","D"
"08/13/25 13:31","49C","O3","120.998","120 ppb","D"
"08/13/25 13:32","49C","O3","121.88","120 ppb","D"
"08/13/25 13:33","49C","O3","121.5","120 ppb","D"
"08/13/25 13:34","49C","O3","121.083","120 ppb","D"
"08/13/25 13:35","49C","O3","121.008","120 ppb","D"
"08/13/25 13:36","49C","O3","121.025","120 ppb","D"
